"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",1554.97311385,1554.05465,18.4446642590784,22.0894797900001,1526.452575,1584.42027,1.63068877145584,6.74680669038447,235.765129371189
"2","sigma",0.0487580353855,0.048709045,0.0014437967802915,0.0014038576314,0.04647718915,0.051220977,1.00042856819212,4180.6677398259,2691.33576036652
"3","prec_ideo[1]",-0.06252917573,-0.047106085,1.07785617628515,1.57882830126,-1.322642785,1.1878315,1.73713133633025,6.10854607160691,155.066123467975
"4","prec_ideo[2]",-0.0331421494425,-0.007518385,0.58794269135665,0.849289181433,-0.776486121,0.687738567,1.73780102902926,6.11009265251713,115.370395788327
"5","prec_ideo[3]",-0.049443529245,-0.05643171,0.822206832565812,1.199136976506,-1.031216505,0.927690221,1.73512707577815,6.11799177596937,144.9368760273
"6","prec_ideo[4]",-0.07412709878,-0.046524005,1.32152018174249,1.938494896527,-1.583232825,1.44060347,1.74067511674588,6.11215173190166,107.424248089734
"7","prec_ideo[5]",-0.051710731355,-0.02763504,0.897820933093525,1.310031861201,-1.11860106,1.00770713,1.73649995097878,6.10162853503503,104.959000417904
"8","prec_ideo[6]",-0.0649530912425,-0.08133177,1.13963966872714,1.674352782648,-1.38891425,1.25387419,1.74126987822218,6.09748666880717,94.5556014308605
"9","prec_ideo[7]",-0.07927453862,-0.08407385,1.38166674637992,2.02717573338,-1.651716155,1.50954746,1.73999227998321,6.12281225654287,132.9782823995
"10","prec_ideo[8]",-0.0644670373675,-0.05469937,1.0771438107005,1.57606844136,-1.3165518,1.200358545,1.73691948784598,6.11125856663844,110.759109134431
"11","prec_ideo[9]",-0.06111150528,-0.054780615,1.0414656651842,1.524042035502,-1.279442755,1.156460075,1.73878876027319,6.10099508894134,116.462955838212
"12","prec_ideo[10]",-0.05572657542,-0.040029005,0.979852900388855,1.430576440734,-1.206976625,1.092913205,1.73738669309173,6.10685827473122,123.114750370334
"13","prec_ideo[11]",-0.0688741121775,-0.06001783,1.19567256888549,1.748599374312,-1.439463145,1.32141225,1.73875879692555,6.11422181681394,109.200026738744
"14","prec_ideo[12]",-0.008272049038248,0.000802107415,0.167246760156707,0.179023171635,-0.295722583,0.2502484725,1.3858912084142,8.5661821594994,140.030447738849
"15","prec_ideo[13]",-0.07332270842,-0.097090455,1.26204254520749,1.849440466713,-1.52743334,1.383328525,1.7392535744723,6.10248881679432,121.654870878852
"16","prec_ideo[14]",-0.0189129556668732,-0.00110063773,0.324177995098223,0.444602684405502,-0.4849042315,0.4279033365,1.73633762847648,6.08281231807396,118.363364565126
"17","prec_ideo[15]",-0.006308226705827,0.0023859147,0.164653474823439,0.17452709862378,-0.2831455735,0.251074468,1.37324426817202,8.76983407623131,124.227238223564
"18","prec_ideo[16]",-0.06350912139,-0.088278345,1.10650853864711,1.62419771451,-1.35330926,1.22124257,1.73578403911338,6.13219884003745,131.091958897876
"19","prec_ideo[17]",-0.0374443661725,-0.02556646,0.65607202626564,0.951515081538,-0.8506468865,0.765541194,1.7352143755444,6.10777434318371,121.489113478193
"20","prec_ideo[18]",-0.07064972806,-0.073298425,1.21333027136512,1.78397647869,-1.46060897,1.329319295,1.74202641192544,6.09924079481909,112.727476498623
"21","prec_ideo[19]",-0.07586134803,-0.039744075,1.29456846488383,1.90040290692,-1.56716959,1.402344865,1.73855839602135,6.10720442906611,114.138541955742
"22","prec_ideo[20]",-0.0579495511275,-0.00708156500000001,0.997755667402818,1.459987206888,-1.23209125,1.110372625,1.73786721500008,6.10080799088491,125.267509539705
