"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",1553.77306395,1553.58635,17.1676026509484,20.01636021,1526.5256,1581.310175,1.57711580174113,6.96001498217299,156.339162154447
"2","sigma",0.048755976045,0.048722519,0.00140490026747067,0.0014150475549,0.0464520116,0.051079204,1.00061118234205,4822.33430034309,2969.33955966239
"3","prec_ideo[1]",-0.051635309145,-0.08472008,1.08811452082202,1.597471247547,-1.315778405,1.208308655,1.73468725945583,6.09931244334168,139.536619447312
"4","prec_ideo[2]",-0.026427732615,-0.00308441,0.59371525821982,0.853709293878,-0.7674759355,0.7028144045,1.73514205607088,6.10522086215529,139.563654319543
"5","prec_ideo[3]",-0.03799394017,-0.012660975,0.832907925923545,1.21432879323,-1.036162045,0.948551889,1.73459587302073,6.12714794108884,106.945663842705
"6","prec_ideo[4]",-0.0632889464975,-0.00102528000000002,1.33415262540293,1.95749924139,-1.58834497,1.44034741,1.73525143261051,6.13352032457999,116.77512796165
"7","prec_ideo[5]",-0.04308812731,-0.008450605,0.904660467277239,1.317599733597,-1.122433055,1.013649575,1.7330050611962,6.13830646146344,124.666549663236
"8","prec_ideo[6]",-0.0531903547075,2.36550000000113e-05,1.15061931841371,1.681691244933,-1.383923765,1.261329965,1.7350924827336,6.12228816113747,124.309486178358
"9","prec_ideo[7]",-0.065926136955,-0.03751516,1.39525902360172,2.047520207796,-1.652830495,1.51846537,1.73666652795994,6.12504798938377,113.454456664998
"10","prec_ideo[8]",-0.05150080011,-0.01974156,1.08639329187068,1.587693048354,-1.32156495,1.195139505,1.73442022518233,6.11719764105475,99.9804796539461
"11","prec_ideo[9]",-0.0470398500925,-0.05161849,1.05125905916306,1.537210436811,-1.275396615,1.173915685,1.73458356162175,6.11914336223174,135.506586898257
"12","prec_ideo[10]",-0.0464156118,-0.04801823,0.990831055211271,1.442978515755,-1.21135998,1.120245245,1.73423329764596,6.10750464934705,105.613299177883
"13","prec_ideo[11]",-0.0567169959175,-0.075016195,1.21035543631893,1.77640031856,-1.444100265,1.32147145,1.73370264699882,6.12674475473788,139.917714444013
"14","prec_ideo[12]",-0.006976938606432,-0.0060482201,0.167727532440763,0.17900648512026,-0.2808171135,0.2627651675,1.4023758358715,8.33561375192188,116.226815657901
"15","prec_ideo[13]",-0.059273493365,-0.050646035,1.27851249946066,1.86942894663,-1.526181135,1.40583654,1.73573392866331,6.12054414338206,106.215372992648
"16","prec_ideo[14]",-0.013444815535925,-0.011024904,0.326103116990327,0.443552029137,-0.476683329,0.4378631735,1.73424258847436,6.10833798120014,119.705203616862
"17","prec_ideo[15]",-0.004396918667941,0.000638078355,0.16268097923817,0.175766102024877,-0.2719216115,0.2511218705,1.40711815600099,8.35036137663241,132.976445588422
"18","prec_ideo[16]",-0.05478039754,-0.035372365,1.12132789712013,1.639369701459,-1.361565695,1.241631905,1.73431257897745,6.15267110176369,113.197064620361
"19","prec_ideo[17]",-0.0309592250375,-0.00374765499999999,0.665422318617587,0.962875993296,-0.8540931885,0.779689108,1.73275215448906,6.10514200751818,118.177263274596
"20","prec_ideo[18]",-0.0573678677375,-0.00355504000000001,1.229134687498,1.79395037367,-1.476427265,1.3597908,1.73492496787054,6.12395583166061,143.225236786482
"21","prec_ideo[19]",-0.0627343767425,-0.02043915,1.30803960538972,1.92116983338,-1.562701025,1.420779935,1.7350658732012,6.11619305177408,124.492649820551
"22","prec_ideo[20]",-0.046298172385,-0.030268315,1.00835891230285,1.470729540861,-1.23700551,1.12501973,1.73422475983234,6.12118583118284,117.811212243067
"23","prec_ideo[21]",-0.077574608775,-0.0701732500000001,1.6770478566512,2.46856139481,-1.97092576,1.799307525,1.73604725673856,6.15548577507936,108.998304307118
"24","prec_ideo[22]",0.0416910466875,0.03897265,0.874237340419836,1.2777854817,-0.9879589195,1.08340732,1.73341787614352,6.10409916411608,132.971563195997
