"","VTDST20GEOID","B15003_001","B15003_002","B15003_003","B15003_004","B15003_005","B15003_006","B15003_007","B15003_008","B15003_009","B15003_010","B15003_011","B15003_012","B15003_013","B15003_014","B15003_015","B15003_016","B15003_017","B15003_018","B15003_019","B15003_020","B15003_021","B15003_022","B15003_023","B15003_024","B15003_025"
"1","42001000040",1616.23004694836,33.4025821596244,0,0,0,2.00117370892019,0,0,0.400234741784038,3.60211267605634,3.80046948356808,8.2018779342723,15.0058685446009,24.2042253521127,26.0093896713615,28.0046948356808,636.897887323944,96.2171361502348,154.212441314554,146.218309859155,181.629107981221,165.014084507042,64.0058685446009,19,8.40258215962441
"2","42001000060",1264,8,2,0,0,0,0,0,0,0,4,11,5,13,25,16,419,53,174,149,155,124,102,0,4
"3","42001000090",2470.58946608947,58.4105339105339,0,0,0,0,0,4.1038961038961,0,1.72727272727273,3.88744588744589,68.8542568542569,27.1601731601732,14.5779220779221,24.6363636363636,9.55050505050505,1025.04617604618,116.347763347763,199.340548340548,175.887445887446,274.895382395382,264.510101010101,155.782106782107,34.4718614718615,11.3997113997114
"4","42001000110",1339.64669421488,26.2079889807163,0,0,0,0,0,0,13,0,8,37.3353994490358,36.469696969697,18.6039944903581,34.181129476584,17.5771349862259,356.032369146006,29.3891184573003,98.013085399449,153.167355371901,106.093663911846,174.29476584022,138.348484848485,48.4359504132231,44.4965564738292
"5","42001000120",930.457341269841,19,0,0,0,0,0,0,0,0,0,0,0,11.5436507936508,5,5,291.600198412698,40.6795634920635,62.2619047619048,137.260912698413,71.7569444444444,133.580357142857,93.2023809523809,32.8630952380952,26.7083333333333
"6","42001000130",1367.90193483127,13.1411200068871,0,0,0,0,0,0,0,0,1.36914600550964,25.70703125,9.69922951101928,10.21484375,22.37890625,10.1640625,334.907315340909,34.80859375,167.943386277548,112.251538825758,78.0626721763085,215.844998278237,242.315706783747,49.93359375,39.1597903753444
"7","42001000150",1101,28,0,0,0,0,0,1,0,13,0,9,30,19,25,5,381,48,72,97,122,117,108,10,16
"8","42001000170",1625.24343374468,17.7045643153527,0,0,0,0,0,0,0,2.80275974025974,0,112.162337662338,31.7646103896104,23.3563311688312,43,35.8562058791831,751.414805060085,20.6622406639004,49.3962042625424,222.894371396239,67.989448051948,146.634565123673,99.6049900307162,0,0
"9","42001000180",2049.88005026855,141.295435684647,35,0,0,0,0,0,0,0.770558892595827,0.308710033076075,32.0140680708487,16.6323025100588,6.12878459743123,12.1323042998897,135.3643012873,574.229075866045,234.087483702141,119.015041602948,325.31070026859,106.083319312991,195.510969606206,115.423675900927,0.396912899669239,0.176405733186329
"10","42001000190",726,2,0,0,0,0,0,0,0,0,0,7,12,6,4,11,158,9,47,53,146,113,126,20,12
"11","42001000200",1916,7,0,0,0,0,0,0,0,0,8,14,37,22,24,24,799,102,124,258,196,215,76,4,6
"12","42001000210",1583,0,0,0,0,0,0,0,0,0,16,11,52,17,87,42,418,37,7,193,102,258,248,13,82
"13","42001000230",921,0,0,0,0,0,0,0,0,0,0,0,59,0,0,19,233,76,45,110,15,174,101,19,70
"14","42001000240",1320,8,0,0,0,0,0,0,0,4,17,0,0,7,37,30,310,70,151,173,35,209,154,8,107
"15","42001000260",1629,9,4,0,0,0,0,0,0,0,3,14,13,38,11,18,602,118,64,180,175,267,66,16,31
"16","42001000270",1488.24659158269,18.5168938944873,0,0,0,0,5,0,0,26.6461173681091,1.3764078245406,39.8933017190279,12.3876704208654,19.764078245406,21.5702430349733,32.4635447540012,514.691760521636,53.1742738589212,101.991701244813,219.522821576763,157.143449911085,176.854179016005,74.1742738589212,11.6994665085951,1.3764078245406
"17","42001000280",680,11,0,0,0,0,0,0,0,0,2,2,28,19,5,10,205,23,52,80,35,101,75,20,12
"18","42001000290",1865.11851211073,29.5025951557093,0,0,0,0,5.72837370242214,4.0916955017301,4.0916955017301,19.6401384083045,0,60.5467128027682,54.9576124567474,48.6384083044983,43.8641868512111,45.1392733564014,863.805363321799,116.27508650519,110.7776816609,120.095155709343,110.36678200692,154.186851211073,57.7283737024221,15.6825259515571,0
"19","42001000310",1964,33,0,0,0,0,0,0,22,10,0,29,21,19,33,3,667,90,142,188,191,311,168,25,12
"20","42001000330",1712.02865013774,26,0,0,0,0,0,0,0,0,0,5.73939393939394,22.4358126721763,51.1741046831956,4.69586776859504,18.5652892561983,628.098071625344,38.1746556473829,99.262258953168,247.394490358127,236.699724517906,210.439669421488,123.349311294766,0,0
"21","42001000340",1325.13333333333,10,9,0,0,0,0,0,0,10,8,5.13333333333333,59.0666666666667,28.7333333333333,4.2,16.4,447.533333333333,29.4666666666667,84.0666666666667,229.066666666667,152.333333333333,157.2,51.9333333333333,23,0
"22","42001000350",1034.0150812065,57,14.5156612529002,0,0,0,0,0,0,0,0,19.3897911832947,17,10.2929234338747,0,33.90313225058,270.457076566125,35.3654292343387,111.266241299304,200.71403712297,117.435614849188,101.270881670534,44.6125290023202,0.791763341067286,0
"23","42001000370",2715.37347294939,11.5410122164049,0,0,0,0,0,26.4764397905759,4.07329842931937,0,16.2931937172775,49.1919720767888,12.8987783595113,87.7242582897033,14.4310645724258,60.2652705061082,960.890052356021,139.439790575916,126.586387434555,469.319371727749,199.05410122164,310.849912739965,127.366492146597,31,67.9720767888307
"24","42001000380",1377,3,0,0,0,0,0,0,0,0,12,0,9,44,19,0,365,37,90,199,153,210,163,46,27
"25","42001000385",1319,0,0,0,0,0,0,0,0,0,6,6,7,17,28,22,436,24,93,68,196,260,125,21,10
"26","42001000390",2103.56626506024,28.1927710843373,0,0,0,0,0,0,0,0,0,13.0120481927711,37.1325301204819,47.6746987951807,91.5903614457831,13,726.963855421687,224.963855421687,138.192771084337,136.132530120482,263.759036144578,309.21686746988,70.8433734939759,2.89156626506024,0
"27","42001000400",1267.43373493976,10.8072289156626,0,0,0,0,0,34,0,22,0,4.98795180722892,8.86746987951807,77.3253012048193,14.4096385542169,14,543.036144578313,89.0361445783133,61.8072289156626,100.867469879518,38.2409638554217,140.78313253012,106.156626506024,1.10843373493976,0
"28","42001000410",1123,22,0,0,0,14,0,4,10,0,5,2,13,38,35,8,479,52,53,106,98,115,43,3,23
"29","42001000425",2128.51186269561,31,0,0.513377082281676,0,0,0,0,0,0,2.56688541140838,59.5517415446744,29,142.225643614336,30.3210499747602,49.3478041393236,648.892478546189,174.595153962645,140.113579000505,245.835941443715,177.33266027259,199.284199899041,134.503281171126,63.4280666330136,0
