"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",1649.287174975,1649.6155,8.11666519409385,8.2206463500002,1635.237035,1661.883105,1.00233058101967,1321.80927360805,2089.95711362828
"2","sigma",0.05582690590925,0.055803075,0.00168006795781094,0.0017169953535,0.0530975169,0.05859413865,1.00038245091332,2517.84377450335,2539.41760990236
"3","prec_ideo[1]",0.03167888633725,0.031727029,0.0039000785623316,0.00394258477619999,0.02519211455,0.0379123383,1.00263513436244,5212.04062619623,2760.58766360195
"4","prec_ideo[2]",0.01716551636106,0.017135287,0.00398184777016327,0.0039661166034,0.01079216485,0.02360941455,1.00155651054207,5493.38756644065,2849.47304983442
"5","prec_ideo[3]",0.02422830443575,0.02425938,0.00401005044288256,0.0040747014861,0.01746475305,0.03086447075,1.00003864136872,5415.78567884915,2673.48003274585
"6","prec_ideo[4]",0.03862942533375,0.0387320645,0.00388396916936715,0.00384623579129999,0.0321173613,0.0449916628,1.00356217748185,4511.42095667848,3006.73382812413
"7","prec_ideo[5]",0.02633209849725,0.0262301455,0.00388230288716341,0.00394766119860001,0.02008789655,0.0328283227,1.00419003631796,4453.05344877515,2779.72509238714
"8","prec_ideo[6]",0.0334580802715,0.033460564,0.00403580271129979,0.0040609355451,0.02672629385,0.0400846978,0.999732628888396,5290.60624133063,2770.44833526763
"9","prec_ideo[7]",0.04028439532925,0.0402997875,0.00398896709330412,0.0039118764237,0.03373600635,0.0470015541,1.00089228015296,5502.83727430178,2992.22222972368
"10","prec_ideo[8]",0.031235992299,0.031179311,0.00401836040461512,0.0039866165136,0.0246189442,0.0379820197,1.00030734552143,4865.00468477151,3115.60316775132
"11","prec_ideo[9]",0.030201002093,0.03021426,0.00396502091725346,0.003935776677,0.02363238285,0.0367541918,1.00044152161737,5338.83707228699,3087.91532988955
"12","prec_ideo[10]",0.028869081529,0.028855897,0.00392653296118261,0.0039299003919,0.02239321145,0.035238482,1.00166993118661,5538.44588230808,2887.41072550488
"13","prec_ideo[11]",0.034985146939,0.0349997085,0.00402730615900595,0.0041014876203,0.0283586647,0.04156007995,1.00573752289841,4839.8793030174,2655.24703602947
"14","prec_ideo[12]",0.00332762493252996,0.00329237125,0.00386750055277728,0.00386775958506,-0.003052121405,0.00971959986999999,1.00006692569156,5558.83838152207,2879.28712708189
"15","prec_ideo[13]",0.036873747772,0.036857983,0.00395828977021311,0.0039909086406,0.0303677461,0.0433307519,1.00111081699752,4890.02920104836,2629.65410913844
"16","prec_ideo[14]",0.008932637139884,0.0088847349,0.00403175980649953,0.00401840115957,0.00253541555,0.01557354105,1.00096864147328,5449.07918109165,2968.53373203551
"17","prec_ideo[15]",0.00338812306397115,0.0034163441,0.0039015799455742,0.00396007471188,-0.002959189575,0.00980411313,1.00137671184608,5499.70039385797,2830.45375165137
"18","prec_ideo[16]",0.03240099954425,0.0323919505,0.00389017190664836,0.0039363615627,0.02600025335,0.0388634566,1.00276333225313,4894.48289924985,2809.43000204162
"19","prec_ideo[17]",0.019266926957875,0.0192656535,0.00397037376297174,0.0040243427532,0.01277252475,0.0257690926,1.00153236330241,5375.29745225871,2696.49007812131
"20","prec_ideo[18]",0.03533582039275,0.035318762,0.00399093195078058,0.0041298979428,0.028852179,0.0418360208,1.00068551194157,5507.83561589394,2751.81833962862
"21","prec_ideo[19]",0.037771197919,0.037815226,0.00402355070271521,0.0039675361929,0.0311595634,0.0443590612,1.00041477178645,5179.31767877762,2982.88536581117
"22","prec_ideo[20]",0.029002095711,0.029009293,0.00390948758087714,0.0039628504356,0.0225765701,0.0354661612,1.0020060932041,4938.01206149238,3243.03565928327
"23","prec_ideo[21]",0.04848430779225,0.04853784,0.00391086074700069,0.0038858656893,0.0420106161,0.0549115035,1.0011549112088,5398.71164302886,3278.75146329718
"24","prec_ideo[22]",-0.02445601497185,-0.024479562,0.00406039728111614,0.0040442637081,-0.0310180202,-0.01784748475,1.00196787575094,5756.03861591352,2766.19734973622
"25","prec_ideo[23]",-0.04076131079375,-0.0407612445,0.00401526110795927,0.00401503424909999,-0.04731011335,-0.0342004524,1.00094142776289,5358.14616523231,2897.25324049153
"26","prec_ideo[24]",-0.0137582501176975,-0.013790222,0.0039756492669597,0.0039897299736,-0.02033173255,-0.007258226975,1.00034622842256,6039.06654226206,3006.43143777562
"27","prec_ideo[25]",0.04367393080225,0.0436349355,0.00388466800413089,0.0039717008163,0.0373170704,0.0500445758,1.00105860543459,5802.1213658832,2997.6840943287
"28","prec_ideo[26]",0.03895456811425,0.0389433155,0.00409728558929552,0.0041574950592,0.0323068462,0.04566317915,1.00158956314767,5050.25178325466,2407.30780913176
"29","prec_ideo[27]",0.033189023888,0.0332143705,0.00400257420123979,0.0040131958251,0.0266810487,0.0397873299,1.00291420033898,5095.75974325852,2987.12773304692
"30","prec_ideo[28]",0.0532263059845,0.0531378195,0.00408332382393422,0.0040739713056,0.04655965995,0.05994087145,1.00008768091028,5203.51033146135,2585.4692066542
